Region	Provincia	1869	1895	1914	1947	1960	1970	1980	1991	2001	2010	2020
Pampeana	Buenos Aires	307761	921168	2066948	4273874	6766108	8774529	10865408	12594974	13827203	15625083	17541141
Noroeste	Catamarca	79962	90161	100769	147213	168231	172323	207717	264234	334568	367828	415438
Noreste	Chaco	45291	10422	46274	430555	543331	566613	701392	839677	984446	1055259	1204541
Patagonia	Chubut		3748	23065	92456	142412	189920	273116	357189	413234	509108	618994
Pampeana	Ciudad de Buenos Aires	187346	663854	1575814	2981043	2966634	2972453	2922829	2965403	2776138	2890151	3075646
Pampeana	Córdoba	210508	351223	735472	1497975	1753840	2060065	2060065	2766683	3066801	3308876	3760450
Noreste	Corrientes	129023	255051	347055	525463	533201	564147	661454	795594	930991	992595	1120801
Pampeana	Entre Ríos	134271	292019	425373	787362	805357	811691	908313	1020257	1158147	1235994	1385961
Noreste	Formosa		4829	19281	113790	178526	234075	295887	398413	486559	530162	605193
Noroeste	Jujuy	49379	49713	77511	166700	241462	302436	410008	512329	611888	673307	770881
Pampeana	La Pampa	21000	25914	101338	169480	158746	172029	208260	259996	299294	318951	358428
Noroeste	La Rioja	48746	69502	79754	110746	128220	136237	164217	220729	289983	333642	393531
Cuyo	Mendoza	65413	116136	277535	588231	824036	973075	1196228	1412481	1579651	1738929	1990338
Noreste	Misiones	3000	33163	53563	246396	361440	443020	588977	788915	965522	1101593	1261294
Patagonia	Neuquén		14517	28866	86936	109890	154470	243850	388833	474155	551266	664057
Patagonia	Río Negro		9241	42242	134350	193292	262622	383354	506772	552822	638645	747610
Noroeste	Salta	88933	118015	142156	290826	412854	509803	662870	866153	1079051	1214441	1424397
Cuyo	San Juan	60319	84450	119252	261229	352387	384284	465976	528715	620023	681055	781217
Cuyo	San Luis	53294	81450	116266	165546	174316	183460	214416	286458	367933	432310	508328
Patagonia	Santa Cruz		1058	9948	42880	52908	84457	114941	159839	196958	273964	365698
Pampeana	Santa Fe	89117	397188	899640	1702975	1884918	2135583	2465546	2798422	3000701	3194537	3536418
Noroeste	Santiago del Estero	132898	161502	261678	479473	476503	495419	594920	671988	804457	874006	978313
Noroeste	Tucumán	108953	215742	332933	593371	773972	765962	972655	1142105	1338523	1448188	1694656
Patagonia	Tierra del Fuego, Antártida e Islas del Atlántico Sur	 	477	2504	5045	11209	15658	29392	69369	101079	127205	173149
