date,score,result
13/04/2021,1,solved
13/04/2021,0,failed
12/04/2021,2,solved
12/04/2021,0,failed
10/04/2021,3,solved
10/04/2021,4,failed
08/04/2021,4,solved
08/04/2021,1,failed
06/04/2021,3,solved
06/04/2021,1,failed
03/04/2021,1,solved
03/04/2021,1,failed
02/04/2021,11,solved
02/04/2021,4,failed
01/04/2021,9,solved
01/04/2021,10,failed
31/03/2021,19,solved
31/03/2021,12,failed
30/03/2021,15,solved
30/03/2021,14,failed
29/03/2021,27,solved
29/03/2021,11,failed
28/03/2021,20,solved
28/03/2021,16,failed
27/03/2021,12,solved
27/03/2021,5,failed
25/03/2021,19,solved
25/03/2021,10,failed
24/03/2021,12,solved
24/03/2021,8,failed
23/03/2021,4,solved
23/03/2021,4,failed
22/03/2021,18,solved
22/03/2021,14,failed
21/03/2021,1,solved
21/03/2021,0,failed
20/03/2021,10,solved
20/03/2021,10,failed
19/03/2021,31,solved
19/03/2021,34,failed
17/03/2021,9,solved
17/03/2021,2,failed
16/03/2021,10,solved
16/03/2021,13,failed
15/03/2021,23,solved
15/03/2021,26,failed
14/03/2021,25,solved
14/03/2021,7,failed
13/03/2021,5,solved
13/03/2021,3,failed
12/03/2021,14,solved
12/03/2021,8,failed
11/03/2021,11,solved
11/03/2021,14,failed
10/03/2021,7,solved
10/03/2021,10,failed
07/03/2021,2,solved
07/03/2021,4,failed
05/03/2021,3,solved
05/03/2021,4,failed
01/03/2021,4,solved
01/03/2021,3,failed
28/02/2021,2,solved
28/02/2021,1,failed
25/02/2021,1,solved
25/02/2021,1,failed
24/02/2021,17,solved
24/02/2021,12,failed
19/02/2021,1,solved
19/02/2021,0,failed
07/02/2021,2,solved
07/02/2021,0,failed
06/02/2021,2,solved
06/02/2021,0,failed
05/02/2021,6,solved
05/02/2021,3,failed
24/01/2021,4,solved
24/01/2021,3,failed
23/01/2021,3,solved
23/01/2021,3,failed
22/01/2021,12,solved
22/01/2021,10,failed
21/01/2021,8,solved
21/01/2021,8,failed
20/01/2021,31,solved
20/01/2021,12,failed
19/01/2021,11,solved
19/01/2021,6,failed
18/01/2021,16,solved
18/01/2021,17,failed
17/01/2021,16,solved
17/01/2021,11,failed
16/01/2021,40,solved
16/01/2021,16,failed
15/01/2021,12,solved
15/01/2021,3,failed
11/01/2021,14,solved
11/01/2021,5,failed
10/01/2021,18,solved
10/01/2021,23,failed
09/01/2021,13,solved
09/01/2021,3,failed
08/01/2021,2,solved
08/01/2021,12,failed
06/01/2021,10,solved
06/01/2021,4,failed
